mid,type,name,level,say,model,hp,hpShow,mp,phyAtt,phyAttMax,magicAtt,magicAttMax,taoAtt,taoAttMax,phyDef,phyDefMax,magicDef,magicDefMax,accurate,dodge,poisonRecover,heathRecover,attackSpeed,moveSpeed,aiparam,toattackarea,heart,relive,die,exp,nlexp,guardarea,aitype,moveInterval,reliveType,reliveTypeParam,status,summon,ExistTime,head,dropstate,cast,pathmode,fanyin,pureatk,puredef,tipsname,sex,aperture,unshandow,isrun,isshare,dropshow,playerModel,color,dieeffect,clientspeed,bloodY,showname,randomHpMin,shap
1,0,沃玛教主,1,,2010,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,1000,800,1,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,32,,0,4,1,0,0,稻草人,0,,,0,,,,,,,,,,
2,0,虹魔猪卫,1,,2016,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,,6,1000,1,200,2869,765,1,2,600,0,0,,1,,44,,0,4,1,0,0,感染的鸡,0,,,0,,,,,,,,,,
3,0,尸王,1,,2017,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,,6,1000,1,200,2869,765,1,2,600,0,0,,1,,31,,0,4,1,0,0,骷髅神灵,0,,,0,,,,,,,,,,
4,0,触龙神,1,,2028,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,0,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,29,,0,4,1,0,0,骷髅勇士,0,,,0,,,,,,,,,,
5,0,祖玛教主,1,,2035,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,34,,0,4,1,0,0,腐虫,0,,,0,,,,,,,,,,
6,0,牛魔王,1,,2045,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,,6,1000,1,200,2869,765,1,2,600,0,0,,1,,30,,0,8,1,0,0,狼人【精】,0,,,0,,,,,,,,,,
7,0,邪恶钳虫,1,,2049,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,,6,1000,1,200,2869,765,1,2,600,0,0,,1,,11,,0,4,1,0,0,幽灵巫师,0,,,0,,,,,,,,,,
8,0,白猪王,1,,2059,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,,6,1000,1,200,2869,765,1,2,600,0,0,,1,,33,,0,4,1,0,0,食人花,0,,,0,,,,,,,,,,
9,0,千年树妖,1,,2058,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,0,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,50,,0,4,1,0,0,多钩猫人,0,,,0,,,,,,,,,,
10,0,阿修罗神,1,,2072,50000,1,0,500,1200,500,1200,500,1200,500,1200,1,1,1,0,0,0,800,1,Special,6,1000,1,200,2869,765,1,3,600,0,0,,1,,54,,0,4,1,0,0,沙狼,0,,,0,,,,,,,,,,
